1 minute time series of wind speed from a met tower
timestamp	Un1	Uw1	Uz1
5/19/12 12:19 PM	-10.93	-0.757	-0.173
5/19/12 12:19 PM	-10.77	-0.845	-0.308
5/19/12 12:19 PM	-11.01	-0.725	-0.23
5/19/12 12:19 PM	-10.99	-0.443	-0.235
5/19/12 12:19 PM	-10.61	-0.47	-0.14
5/19/12 12:19 PM	-10.25	-0.528	-0.264
5/19/12 12:19 PM	-10.72	-0.677	-0.211
5/19/12 12:19 PM	-10.84	-0.669	-0.214
5/19/12 12:19 PM	-10.74	-0.602	-0.146
5/19/12 12:19 PM	-10.6	-0.496	-0.122
5/19/12 12:19 PM	-10.7	-0.286	0.047
5/19/12 12:19 PM	-10.58	-0.235	-0.056
5/19/12 12:19 PM	-10.46	-0.25	-0.24
5/19/12 12:19 PM	-10.64	-0.565	-0.36
5/19/12 12:19 PM	-11.01	-0.08	-0.156
5/19/12 12:19 PM	-11.07	-0.245	-0.167
5/19/12 12:19 PM	-11.14	-0.442	-0.133
5/19/12 12:19 PM	-11.06	-0.499	-0.042
5/19/12 12:19 PM	-11.08	-0.615	-0.066
5/19/12 12:19 PM	-11.04	-0.709	-0.183
5/19/12 12:19 PM	-11.1	-0.447	0.035
5/19/12 12:19 PM	-11.26	-0.406	0.035
5/19/12 12:19 PM	-10.92	-0.442	-0.189
5/19/12 12:19 PM	-10.92	-0.858	0.033
5/19/12 12:19 PM	-10.97	-0.72	0.24
5/19/12 12:19 PM	-10.76	-0.613	0.224
5/19/12 12:19 PM	-11.02	-0.834	0.211
5/19/12 12:19 PM	-11.1	-0.544	0.162
5/19/12 12:19 PM	-10.7	-0.538	0.032
5/19/12 12:19 PM	-10.88	-0.328	0.02
5/19/12 12:19 PM	-11.53	0.16	0.585
5/19/12 12:19 PM	-10.76	0.337	0.283
5/19/12 12:19 PM	-10.72	-0.507	0.758
5/19/12 12:19 PM	-10.87	1.617	0.728
5/19/12 12:19 PM	-10.35	0.566	0.246
5/19/12 12:19 PM	-10.66	0.351	0.202
5/19/12 12:19 PM	-10.64	0.193	0.492
5/19/12 12:19 PM	-11.22	-0.489	0.211
5/19/12 12:19 PM	-10.35	-0.72	-0.003
5/19/12 12:19 PM	-9.74	-0.696	-0.889
5/19/12 12:19 PM	-9.8	-1.451	-1.117
5/19/12 12:19 PM	-10.02	-0.876	-1.192
5/19/12 12:19 PM	-9.89	-0.865	-1.133
